DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
6/2/2012,449.38,447.47,449.38,441.6,13467070
7/2/2012,448.37,449.31,450.13,443.38,20244966
8/2/2012,452.13,460.98,460.98,450,22068580
9/2/2012,467.18,464.73,467.18,461.49,27276577
10/2/2012,464.25,458.23,464.25,456.52,23972730
13/02/2012,457.37,446.23,457.37,446.23,16144770
14/02/2012,447.79,450.22,450.22,447.79,17790050
15/02/2012,445.37,446.08,446.08,443.1,16124541
16/02/2012,439.63,443.54,445.37,439.63,18843258
17/02/2012,451.22,451.22,451.22,451.22,18027870
20/02/2012,459.4,465.44,465.44,459.17,22655020
21/02/2012,465.01,462.27,465.01,462.27,26950870
22/02/2012,460.85,470.97,470.97,460.85,24397900
23/02/2012,471.09,476.4,476.4,467.88,29349270
24/02/2012,478.71,477.77,483.72,476.78,34210990
27/02/2012,477.83,485.85,485.81,477.83,25795020
28/02/2012,487.72,480.89,489.94,479.53,63583438
29/02/2012,479.93,485.18,483.19,478.85,71676480
1/3/2012,488.36,491.01,488.36,485.55,47848193
2/3/2012,495.69,503.54,503.74,495.45,30746560
6/3/2012,534.73,508.41,538.98,507.2,48176720
7/3/2012,500.2,505.9,506.49,494.59,38082410
8/3/2012,495.63,489.05,503.39,494.47,29859440
9/3/2012,485,487.03,485,485,12468280
13/03/2012,485.49,486.42,490.9,482.87,23032440
14/03/2012,493.22,491.23,493.22,489.36,24759814
15/03/2012,489.49,502.82,502.82,486.57,52359080
19/03/2012,498.03,497.22,500.61,496.82,24270550
20/03/2012,494.24,501.29,500.77,494.24,24087151
21/03/2012,505.63,506.8,512.9,504.76,35976080
22/03/2012,503.84,505.54,509.78,503.84,27815150
23/03/2012,508.04,512.84,511.28,507.97,26849750
26/03/2012,517.61,517.27,518.09,509.49,29033600
27/03/2012,514.7,502.41,515.73,502.41,35145910
28/03/2012,499.74,504.54,505.33,493.89,24629550
29/03/2012,507.21,498.48,507.59,502.54,25510650
30/03/2012,501.93,500.07,503.36,496.99,19547270
3/4/2012,499.97,505.77,506.73,499.65,21350169
4/4/2012,507.11,500.28,507.78,500.28,16010040
5/4/2012,499.29,507.35,508.26,498.44,27507094
6/4/2012,510.45,511.51,515.13,509.25,48736760
9/4/2012,516.64,515.64,517.75,513.8,23471970
10/4/2012,516.42,517.4,521.09,514.56,32329818
11/4/2012,523.17,527.63,527.63,519.55,38366734
12/4/2012,531.24,537.28,540.43,530.07,42218720
13/04/2012,540.29,532.3,540.68,532.3,41678070
16/04/2012,533.23,539.17,535.33,530.48,29367870
17/04/2012,542.21,544.13,546.98,538.91,52674007
18/04/2012,544.76,541.6,551.52,540.85,59020130
19/04/2012,539.07,533.68,542.43,532.9,52340803
20/04/2012,535.44,533.74,539.82,533.37,42513448
23/04/2012,535.39,533.6,538.98,533.5,19755622
24/04/2012,534.82,534.89,536,528.69,36901909
25/04/2012,541.69,542.78,543.73,540.02,26670110
26/04/2012,542.53,538.1,544.68,538.06,26614551
27/04/2012,541.77,541.2,542.85,538.19,21069100
2/5/2012,544.13,539.72,545.52,537.51,25698490
3/5/2012,539.04,536.1,541.83,532.05,25484791
4/5/2012,536.81,542.5,545.21,536.81,32884840
7/5/2012,547.61,552.3,552.54,546.4,28487850
8/5/2012,554.29,557.02,561.45,552.53,40418681
9/5/2012,557.2,557.35,560.55,554.42,26927770
10/5/2012,559.31,554.74,561.53,551.62,40035280
11/5/2012,554.92,547.94,557.15,547.87,25679750
14/05/2012,546.27,536.35,549.75,536.25,49299294
15/05/2012,533.01,522.9,535.84,522.9,33520609
16/05/2012,522.7,519.7,527.27,516.04,25248360
17/05/2012,519.78,513.46,524.08,513.46,20806370
18/05/2012,510.7,504.61,510.7,500.21,30905830
21/05/2012,507.94,518.86,518.93,507.94,18087624
22/05/2012,520.69,516.86,523.83,515.12,34206970
23/05/2012,514.66,508.45,514.66,508.35,23842983
24/05/2012,504.2,501.58,509.76,499.93,20637310
25/05/2012,507.43,514.27,514.59,507.43,32964501
28/05/2012,521.46,513.44,521.47,511.33,18860300
29/05/2012,510.47,510.81,512.33,508.55,13002703
30/05/2012,513.62,513.38,516.15,511.63,16558892
31/05/2012,508.92,507.07,511.69,506.35,12845910
1/6/2012,509.06,505.65,509.52,504.6,38844800
4/6/2012,503.83,492.89,504.28,492.89,101405290
5/6/2012,490.63,498.02,498.02,490.63,69414862
6/6/2012,498.66,504.11,504.99,498.48,59818755
7/6/2012,508.56,509.41,512.97,506.39,26371010
8/6/2012,511.07,508.15,515.88,508.15,24169979
11/6/2012,508.09,509.99,512.94,506.52,33257769
12/6/2012,508.64,506.49,509.72,505.27,17563506
13/06/2012,507.6,504.19,507.6,503.16,54256623
14/06/2012,500.82,500.24,504.1,498.63,21665892
15/06/2012,500.65,507.94,509.25,500.65,43243730
18/06/2012,512.47,510.81,512.58,508.64,24394912
19/06/2012,508.37,506.67,510.6,505.02,24154241
20/06/2012,507.23,508.23,510.37,504.02,12721510
21/06/2012,504.85,504.71,507.84,504.52,17311290
22/06/2012,503.97,500.34,504.21,499.4,17793229
25/06/2012,499.37,498.09,503.58,496.43,30421170
26/06/2012,496.72,493.73,496.72,492.34,19230090
27/06/2012,494.63,492.77,497.29,492.72,15938599
28/06/2012,492.5,491.71,493.38,489.93,14827261
29/06/2012,494.03,497.73,497.73,492.48,31279073
2/7/2012,496.45,492.66,498.47,491.33,13048800
3/7/2012,489.92,486.95,491,485.18,16232870
4/7/2012,487.69,485.42,490.86,485.42,8639000
5/7/2012,485.27,488.82,488.82,483.75,10278700
6/7/2012,489.41,490.64,493.74,488.99,13401270
9/7/2012,487.75,482.49,488.99,482.03,10961650
10/7/2012,482.21,479.58,484.13,479.58,10083070
11/7/2012,479.15,481.57,482.81,479.15,8113340
12/7/2012,481.63,483.12,483.68,481.57,25305843
13/07/2012,484.56,492.36,492.44,484.56,16840230
16/07/2012,493.47,488.63,494.06,488.08,10562920
17/07/2012,484.62,493.04,493.42,484.62,23307399
18/07/2012,493.34,494.11,495.61,491.73,22765645
19/07/2012,494.22,502.6,502.6,493.03,35508800
20/07/2012,507.48,497.43,507.98,497.43,31105509
23/07/2012,496.65,495.86,500.33,495.08,17214250
24/07/2012,494.3,491.34,495.23,489.25,16067060
25/07/2012,488.16,488.37,491.43,487.62,17137727
26/07/2012,488.89,490.78,492.65,488.62,11938838
27/07/2012,492.91,489.61,493.88,488.47,15204506
30/07/2012,487.18,492.29,492.8,486.57,11424000
31/07/2012,491.86,491.98,493.76,491.15,8536950
1/8/2012,491,489.76,491.26,488.26,10291410
2/8/2012,493.82,494.12,495.69,493.17,7778700
3/8/2012,496.32,497.38,498.49,495.95,7783430
6/8/2012,497.9,502.97,504.01,497.9,16339625
7/8/2012,503.36,502.07,505.72,502.07,9950950
8/8/2012,501.7,503.74,503.99,500.44,7995210
9/8/2012,504.91,508.58,509.11,504.87,15448896
10/8/2012,509.28,506.6,509.28,505.8,14121243
13/08/2012,505.83,508.99,508.99,504.37,10006822
14/08/2012,509.76,513.36,514.8,507.73,34596060
15/08/2012,513.83,516.05,517.67,513.83,19375360
16/08/2012,516.93,514.47,518.84,513.08,9640594
17/08/2012,514.66,515.55,517.09,513.46,14760811
20/08/2012,517.47,521.28,521.75,516.62,22764002
21/08/2012,510.61,496.39,510.61,495.59,31535160
22/08/2012,480.87,486.32,489.9,480.58,31456080
23/08/2012,472.82,464.83,472.85,463.11,23065381
24/08/2012,448.65,472.75,475.38,446.06,39164418
27/08/2012,468,456.32,468,454.84,20421540
28/08/2012,449.05,454.1,454.98,446.83,16318390
29/08/2012,457.34,459.64,463,457.34,17132523
30/08/2012,460.61,465.42,468.59,460.61,15495713
31/08/2012,465.35,465.29,468.25,463.1,12599480
4/9/2012,466.59,472.78,474.91,466.57,13689123
5/9/2012,473.43,469.46,476,466.06,21481354
6/9/2012,466.77,463.63,469.31,463.63,14996831
7/9/2012,463.95,465.94,467.26,462.41,14650740
10/9/2012,463.93,455.59,464.54,452.63,20856980
11/9/2012,449.61,453.39,453.99,449.61,13573990
12/9/2012,454.05,453.96,457.49,452.75,14068630
13/09/2012,453.87,456.11,456.11,452.35,19654660
14/09/2012,463.13,463.9,465.92,460.16,21219480
17/09/2012,464.18,468.32,472.47,464.18,18886263
18/09/2012,470.13,460.44,473.64,459.26,19605980
19/09/2012,454.24,457.13,460.94,454.24,24366030
20/09/2012,453.89,449.66,454.71,445.4,37046550
21/09/2012,452.28,457.53,457.53,452.28,82246184
24/09/2012,455.45,454.52,457.93,453.84,13352620
25/09/2012,455.25,456.52,459.1,453.52,11412115
26/09/2012,457.7,460.23,463.75,457.63,10165470
27/09/2012,461.86,458.38,462.85,455.39,10828260
28/09/2012,456.62,456.48,458.35,454.68,22096826
1/10/2012,454.82,451.55,455.27,451,12920973
2/10/2012,451.23,448.97,452.25,448.65,12940320
3/10/2012,450.53,450.44,452.59,447.35,20723320
